player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Paul Nebel,Mainz,F,23,Germany,germany,2526,27308.0,1420000.0
Sacha Boey,Bayern Munich,D,25,France,germany,2526,27308.0,1420000.0
Noah Katterbach,Hamburg,D,24,Germany,germany,2526,27308.0,1420000.0
Tom Krauß,Koln,M,24,Germany,germany,2526,27308.0,1420000.0
Leon Avdullahu,Hoffenheim,M,21,Kosovo,germany,2526,27308.0,1420000.0
Konstantinos Koulierakis,Wolfsburg,D,22,Greece,germany,2526,27308.0,1420000.0
Tim Skarke,Union Berlin,F,29,Germany,germany,2526,27308.0,1420000.0
Marius Bülter,Koln,F,32,Germany,germany,2526,25385.0,1320000.0
Grischa Prömel,Hoffenheim,M,31,Germany,germany,2526,25385.0,1320000.0
Robin Fellhauer,Augsburg,M,28,Germany,germany,2526,25385.0,1320000.0
Romano Schmid,Werder Bremen,F,26,Austria,germany,2526,25385.0,1320000.0
Ibrahim Maza,Bayer Leverkusen,F,20,Algeria,germany,2526,25385.0,1320000.0
Alexander Meyer,Borussia Dortmund,K,34,Germany,germany,2526,25385.0,1320000.0
Can Uzun,Eintracht Frankfurt,F,20,Turkey,germany,2526,25385.0,1320000.0
Leart Paqarada,Heidenheim,D,31,Kosovo,germany,2526,25385.0,1320000.0
Connor Metcalfe,St Pauli,M,26,Australia,germany,2526,25385.0,1320000.0
Phillip Tietz,Mainz,F,28,Germany,germany,2526,25385.0,1320000.0
Kosta Nedeljkovic,Leipzig,D,20,Serbia,germany,2526,25385.0,1320000.0
Robin Hranac,Hoffenheim,D,26,Czech Republic,germany,2526,25385.0,1320000.0
Nicolai Remberg,Hamburg,M,25,Germany,germany,2526,25385.0,1320000.0
Jonas Urbig,Bayern Munich,K,22,Germany,germany,2526,25385.0,1320000.0
Dimitrios Giannoulis,Augsburg,D,30,Greece,germany,2526,25385.0,1320000.0
Assan Ouédraogo,Leipzig,M,19,Germany,germany,2526,25385.0,1320000.0
Mathias Honsak,Heidenheim,F,29,Austria,germany,2526,25385.0,1320000.0
Igor Matanovic,Freiburg,F,22,Croatia,germany,2526,25385.0,1320000.0
Lennard Maloney,Mainz,M,26,United States,germany,2526,25385.0,1320000.0
Janis Blaswich,Bayer Leverkusen,K,34,Germany,germany,2526,23654.0,1230000.0
Kota Takai,Monchengladbach,D,21,Japan,germany,2526,23654.0,1230000.0
Amos Pieper,Werder Bremen,D,28,Germany,germany,2526,23654.0,1230000.0
Bazoumana Touré,Hoffenheim,F,19,Cote d'Ivoire,germany,2526,23654.0,1230000.0
Jan Thielmann,Koln,F,23,Germany,germany,2526,23654.0,1230000.0
Stanley Nsoki,Union Berlin,D,26,France,germany,2526,23269.0,1210000.0
Kevin Paredes,Wolfsburg,M,22,United States,germany,2526,21731.0,1130000.0
Cyriaque Irié,Freiburg,F,20,Burkina Faso,germany,2526,21731.0,1130000.0
Kilian Fischer,Wolfsburg,D,25,Germany,germany,2526,21731.0,1130000.0
Nelson Weiper,Mainz,F,20,Germany,germany,2526,21731.0,1130000.0
Rav van den Berg,Koln,D,21,Netherlands,germany,2526,21731.0,1130000.0
Ísak Jóhannesson,Koln,M,22,Iceland,germany,2526,21731.0,1130000.0
Fabian Bredlow,Stuttgart,K,30,Germany,germany,2526,21731.0,1130000.0
Danel Sinani,St Pauli,F,28,Luxembourg,germany,2526,21731.0,1130000.0
Jens Castrop,Monchengladbach,M,22,South Korea,germany,2526,21731.0,1130000.0
Giovanni Reyna,Monchengladbach,F,23,United States,germany,2526,21731.0,1130000.0
Arijon Ibrahimovic,Heidenheim,F,20,Germany,germany,2526,21731.0,1130000.0
Yannik Engelhardt,Monchengladbach,M,24,Germany,germany,2526,21731.0,1130000.0
Jean-Mattéo Bahoya,Eintracht Frankfurt,F,20,France,germany,2526,21731.0,1130000.0
Noah Atubolu,Freiburg,K,23,Germany,germany,2526,21731.0,1130000.0
Bakery Jatta,Hamburg,F,27,The Gambia,germany,2526,21731.0,1130000.0
Mads Pedersen,Augsburg,D,29,Denmark,germany,2526,21731.0,1130000.0
Albert Grønbaek,Hamburg,F,24,Denmark,germany,2526,21731.0,1130000.0
Silas Katompa Mvumpa,Mainz,F,27,Democratic Republic of the Congo,germany,2526,21731.0,1130000.0
Jakub Kaminski,Koln,F,23,Poland,germany,2526,21731.0,1130000.0
Dominique Heintz,Koln,D,32,Germany,germany,2526,21731.0,1130000.0
Marvin Pieringer,Heidenheim,F,26,Germany,germany,2526,21731.0,1130000.0
Tom Rothe,Union Berlin,D,21,Germany,germany,2526,21731.0,1130000.0
Andrija Maksimovic,Leipzig,F,18,Serbia,germany,2526,21731.0,1130000.0
Maxim Leitsch,Mainz,D,27,Germany,germany,2526,21731.0,1130000.0
Daniel Heuer Fernandes,Hamburg,K,33,Portugal,germany,2526,21731.0,1130000.0
James Sands,St Pauli,M,25,United States,germany,2526,20000.0,1040000.0
Wouter Burger,Hoffenheim,M,24,Netherlands,germany,2526,20000.0,1040000.0
Dennis Geiger,Hoffenheim,M,27,Germany,germany,2526,20000.0,1040000.0
Sebastian Sebulonsen,Koln,D,26,Norway,germany,2526,20000.0,1040000.0
William Bøving,Mainz,F,22,Denmark,germany,2526,20000.0,1040000.0
Joël Schmied,Koln,D,27,Switzerland,germany,2526,20000.0,1040000.0
Derry Scherhant,Freiburg,F,23,Germany,germany,2526,18077.0,940000.0
Ansgar Knauff,Eintracht Frankfurt,F,24,Germany,germany,2526,18077.0,940000.0
Leopold Querfeld,Union Berlin,D,22,Austria,germany,2526,18077.0,940000.0
Denis Huseinbasic,Koln,M,24,Bosnia-Herzegovina,germany,2526,18077.0,940000.0
Anthony Jung,Freiburg,D,34,Germany,germany,2526,18077.0,940000.0
Timothy Chandler,Eintracht Frankfurt,D,35,United States,germany,2526,18077.0,940000.0
Nicolas Höfler,Freiburg,M,35,Germany,germany,2526,18077.0,940000.0
Tim Lemperle,Hoffenheim,F,24,Germany,germany,2526,18077.0,940000.0
Muhammed Damar,Hoffenheim,F,21,Germany,germany,2526,18077.0,940000.0
Finn Jeltsch,Stuttgart,D,19,Germany,germany,2526,18077.0,940000.0
