player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Aihen Muñoz,Real Sociedad,D,26,Spain,spain,2324,31923.0,1660000.0
Pepelu,Valencia,M,25,Spain,spain,2324,31923.0,1660000.0
Antonio Raíllo,Mallorca,D,32,Spain,spain,2324,31538.0,1640000.0
Ilaix Moriba,Getafe,M,21,Guinea,spain,2324,31154.0,1620000.0
Borja Iglesias,Real Betis,F,30,Spain,spain,2324,30769.0,1600000.0
Aïssa Mandi,Villarreal,D,32,Algeria,spain,2324,30769.0,1600000.0
Paulo Gazzaniga,Girona,K,32,Argentina,spain,2324,30000.0,1560000.0
Carl Starfelt,Celta Vigo,D,28,Sweden,spain,2324,30000.0,1560000.0
Antonio Sivera,Alaves,K,27,Spain,spain,2324,30000.0,1560000.0
Julián Araujo,Las Palmas,D,22,Mexico,spain,2324,30000.0,1560000.0
Joseph Aidoo,Celta Vigo,D,28,Ghana,spain,2324,30000.0,1560000.0
Gonzalo Villar,Granada,M,25,Spain,spain,2324,29615.0,1540000.0
Sergi Canós,Valencia,F,27,Spain,spain,2324,28846.0,1500000.0
Alejo Véliz,Sevilla,F,20,Argentina,spain,2324,28846.0,1500000.0
Chimy Ávila,Osasuna,F,29,Argentina,spain,2324,28846.0,1500000.0
João Félix,Atletico Madrid,F,23,Portugal,spain,2324,28846.0,1500000.0
Daley Sinkgraven,Las Palmas,D,28,Netherlands,spain,2324,28846.0,1500000.0
Mason Greenwood,Getafe,F,22,England,spain,2324,28846.0,1500000.0
Giorgi Mamardashvili,Valencia,K,23,Georgia,spain,2324,28846.0,1500000.0
Pepe Reina,Villarreal,K,41,Spain,spain,2324,28846.0,1500000.0
Luis Suárez,Almeria,F,26,Colombia,spain,2324,28846.0,1500000.0
Ianis Hagi,Alaves,F,25,Romania,spain,2324,28846.0,1500000.0
José Luis Morales,Villarreal,F,36,Spain,spain,2324,28846.0,1500000.0
José Callejón,Granada,F,36,Spain,spain,2324,28846.0,1500000.0
Sandro Ramírez,Las Palmas,F,28,Spain,spain,2324,28654.0,1490000.0
Ander Guevara,Alaves,M,26,Spain,spain,2324,28077.0,1460000.0
Moi Gómez,Osasuna,F,29,Spain,spain,2324,28077.0,1460000.0
Beñat Prados,Athletic Club,M,22,Spain,spain,2324,28077.0,1460000.0
Antonio Sánchez,Mallorca,M,26,Spain,spain,2324,28077.0,1460000.0
Pablo Maffeo,Mallorca,D,26,Argentina,spain,2324,28077.0,1460000.0
Andrei Rațiu,Rayo Vallecano,D,25,Romania,spain,2324,28077.0,1460000.0
Toni Lato,Mallorca,D,26,Spain,spain,2324,28077.0,1460000.0
Luis Milla,Getafe,M,29,Spain,spain,2324,28077.0,1460000.0
Jon Moncayola,Osasuna,M,25,Spain,spain,2324,28077.0,1460000.0
Darwin Machís,Cadiz,F,30,Venezuela,spain,2324,27885.0,1450000.0
Álvaro García,Rayo Vallecano,F,31,Spain,spain,2324,27885.0,1450000.0
Jaume Doménech,Valencia,K,33,Spain,spain,2324,27885.0,1450000.0
Andrés Guardado,Real Betis,M,36,Mexico,spain,2324,26923.0,1400000.0
Alberto Moreno,Villarreal,D,31,Spain,spain,2324,26923.0,1400000.0
Sheraldo Becker,Real Sociedad,F,28,Suriname,spain,2324,26923.0,1400000.0
Agustín Marchesín,Celta Vigo,K,35,Argentina,spain,2324,26923.0,1400000.0
Ante Budimir,Osasuna,F,32,Croatia,spain,2324,25962.0,1350000.0
Yeremi Pino,Villarreal,F,21,Spain,spain,2324,25962.0,1350000.0
Rubén García,Osasuna,F,30,Spain,spain,2324,25962.0,1350000.0
Vitolo,Atletico Madrid,F,34,Spain,spain,2324,25962.0,1350000.0
Anastasios Douvikas,Celta Vigo,F,24,Greece,spain,2324,25000.0,1300000.0
Juan Miranda,Real Betis,D,24,Spain,spain,2324,25000.0,1300000.0
Raúl García,Osasuna,F,23,Spain,spain,2324,24231.0,1260000.0
Marko Dmitrović,Sevilla,K,32,Serbia,spain,2324,24231.0,1260000.0
Jon Guridi,Alaves,M,28,Spain,spain,2324,24231.0,1260000.0
Juan Cruz,Osasuna,D,31,Spain,spain,2324,24231.0,1260000.0
Domingos Duarte,Getafe,D,28,Portugal,spain,2324,24231.0,1260000.0
Arsen Zakharyan,Real Sociedad,F,20,Russia,spain,2324,24231.0,1260000.0
Óscar de Marcos,Athletic Club,D,35,Spain,spain,2324,24038.0,1250000.0
Samuel Lino,Atletico Madrid,F,24,Brazil,spain,2324,24038.0,1250000.0
Ayoze Pérez,Real Betis,F,30,Spain,spain,2324,24038.0,1250000.0
Manu Morlanes,Mallorca,M,25,Spain,spain,2324,24038.0,1250000.0
Santi Comesaña,Villarreal,M,27,Spain,spain,2324,24038.0,1250000.0
Franco Cervi,Celta Vigo,F,29,Argentina,spain,2324,23846.0,1240000.0
André Almeida,Valencia,M,23,Portugal,spain,2324,23846.0,1240000.0
