,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
David Soria,"€ 48,077","€ 2,500,000","€ 2,500,000",K,30,Spain,Getafe,spain,2324
Çağlar Söyüncü,"€ 48,077","€ 2,500,000","€ 2,500,000",D,27,Turkey,Atletico Madrid,spain,2324
Germán Pezzella,"€ 48,077","€ 2,500,000","€ 2,500,000",D,32,Argentina,Real Betis,spain,2324
Artem Dovbyk,"€ 48,077","€ 2,500,000","€ 2,500,000",F,26,Ukraine,Girona,spain,2324
Yeray Álvarez,"€ 46,154","€ 2,400,000","€ 2,400,000",D,29,Spain,Athletic Club,spain,2324
Vicente Guaita,"€ 46,154","€ 2,400,000","€ 2,400,000",K,37,Spain,Celta Vigo,spain,2324
Hamari Traoré,"€ 46,154","€ 2,400,000","€ 2,400,000",D,32,Mali,Real Sociedad,spain,2324
Juanmi,"€ 46,154","€ 2,400,000","€ 2,400,000",F,30,Spain,Cadiz,spain,2324
William Carvalho,"€ 45,192","€ 2,350,000","€ 2,350,000",M,31,Portugal,Real Betis,spain,2324
Óliver Torres,"€ 44,231","€ 2,300,000","€ 2,300,000",M,29,Spain,Sevilla,spain,2324
Sergio Ramos,"€ 44,038","€ 2,290,000","€ 2,290,000",D,37,Spain,Sevilla,spain,2324
Sokratis,"€ 44,038","€ 2,290,000","€ 2,290,000",D,35,Greece,Real Betis,spain,2324
Willian José,"€ 42,308","€ 2,200,000","€ 2,200,000",F,32,Brazil,Real Betis,spain,2324
Iker Muniain,"€ 42,308","€ 2,200,000","€ 2,200,000",F,31,Spain,Athletic Club,spain,2324
Jaime Mata,"€ 41,154","€ 2,140,000","€ 2,140,000",F,35,Spain,Getafe,spain,2324
Lucas Torró,"€ 40,000","€ 2,080,000","€ 2,080,000",M,29,Spain,Osasuna,spain,2324
Filip Jørgensen,"€ 40,000","€ 2,080,000","€ 2,080,000",K,22,Denmark,Villarreal,spain,2324
Luís Maximiano,"€ 40,000","€ 2,080,000","€ 2,080,000",K,25,Portugal,Almeria,spain,2324
Hugo Duro,"€ 40,000","€ 2,080,000","€ 2,080,000",F,24,Spain,Valencia,spain,2324
Aitor Paredes,"€ 40,000","€ 2,080,000","€ 2,080,000",D,23,Spain,Athletic Club,spain,2324
Gorka Guruzeta,"€ 40,000","€ 2,080,000","€ 2,080,000",F,27,Spain,Athletic Club,spain,2324
Mikel Vesga,"€ 40,000","€ 2,080,000","€ 2,080,000",M,30,Spain,Athletic Club,spain,2324
Raúl García,"€ 40,000","€ 2,080,000","€ 2,080,000",F,37,Spain,Athletic Club,spain,2324
Pablo Barrios,"€ 40,000","€ 2,080,000","€ 2,080,000",M,20,Spain,Atletico Madrid,spain,2324
Umar Sadiq,"€ 40,000","€ 2,080,000","€ 2,080,000",F,27,Nigeria,Real Sociedad,spain,2324
Aritz Elustondo,"€ 40,000","€ 2,080,000","€ 2,080,000",D,29,Spain,Real Sociedad,spain,2324
Nemanja Maksimovic,"€ 40,000","€ 2,080,000","€ 2,080,000",M,29,Serbia,Getafe,spain,2324
Marc Bartra,"€ 40,000","€ 2,080,000","€ 2,080,000",D,33,Spain,Real Betis,spain,2324
Chimy Ávila,"€ 40,000","€ 2,080,000","€ 2,080,000",F,29,Argentina,Real Betis,spain,2324
Miguel Crespo,"€ 40,000","€ 2,080,000","€ 2,080,000",M,27,Portugal,Rayo Vallecano,spain,2324
Isi Palazón,"€ 40,000","€ 2,080,000","€ 2,080,000",F,29,Spain,Rayo Vallecano,spain,2324
Florian Lejeune,"€ 40,000","€ 2,080,000","€ 2,080,000",D,32,France,Rayo Vallecano,spain,2324
Fran Beltrán,"€ 38,462","€ 2,000,000","€ 2,000,000",M,24,Spain,Celta Vigo,spain,2324
Álex Baena,"€ 38,462","€ 2,000,000","€ 2,000,000",F,22,Spain,Villarreal,spain,2324
Juan Foyth,"€ 38,462","€ 2,000,000","€ 2,000,000",D,26,Argentina,Villarreal,spain,2324
Hugo Guillamón,"€ 36,923","€ 1,920,000","€ 1,920,000",M,24,Spain,Valencia,spain,2324
Étienne Capoue,"€ 36,538","€ 1,900,000","€ 1,900,000",M,35,France,Villarreal,spain,2324
Rafa Mir,"€ 36,538","€ 1,900,000","€ 1,900,000",F,26,Spain,Sevilla,spain,2324
Portu,"€ 36,154","€ 1,880,000","€ 1,880,000",F,31,Spain,Girona,spain,2324
Jorge de Frutos,"€ 36,154","€ 1,880,000","€ 1,880,000",F,26,Spain,Rayo Vallecano,spain,2324
Óscar Valentín,"€ 36,154","€ 1,880,000","€ 1,880,000",M,29,Spain,Rayo Vallecano,spain,2324
Dimitri Foulquier,"€ 35,962","€ 1,870,000","€ 1,870,000",D,30,Guadeloupe,Valencia,spain,2324
Máximo Perrone,"€ 35,385","€ 1,840,000","€ 1,840,000",M,21,Argentina,Las Palmas,spain,2324
Jesús Vallejo,"€ 34,615","€ 1,800,000","€ 1,800,000",D,27,Spain,Granada,spain,2324
Gonzalo Escalante,"€ 34,423","€ 1,790,000","€ 1,790,000",M,30,Argentina,Cadiz,spain,2324
Asier Villalibre,"€ 34,038","€ 1,770,000","€ 1,770,000",F,26,Spain,Athletic Club,spain,2324
Munir El Haddadi,"€ 33,654","€ 1,750,000","€ 1,750,000",F,28,Morocco,Las Palmas,spain,2324
Álex Berenguer,"€ 32,692","€ 1,700,000","€ 1,700,000",F,28,Spain,Athletic Club,spain,2324
Guido Rodríguez,"€ 32,692","€ 1,700,000","€ 1,700,000",M,29,Argentina,Real Betis,spain,2324
Unai Núñez,"€ 32,692","€ 1,700,000","€ 1,700,000",D,27,Spain,Celta Vigo,spain,2324
Lucas Ocampos,"€ 32,692","€ 1,700,000","€ 1,700,000",F,29,Argentina,Sevilla,spain,2324
Luka Romero,"€ 32,115","€ 1,670,000","€ 1,670,000",F,19,Argentina,Almeria,spain,2324
Nemanja Radonjic,"€ 32,115","€ 1,670,000","€ 1,670,000",F,27,Serbia,Mallorca,spain,2324
Matteo Gabbia,"€ 32,115","€ 1,670,000","€ 1,670,000",D,23,Italy,Villarreal,spain,2324
Alejandro Catena,"€ 32,115","€ 1,670,000","€ 1,670,000",D,29,Spain,Osasuna,spain,2324
Alejandro Balde,"€ 32,115","€ 1,670,000","€ 1,670,000",D,20,Spain,Barcelona,spain,2324
Aihen Muñoz,"€ 31,923","€ 1,660,000","€ 1,660,000",D,26,Spain,Real Sociedad,spain,2324
Pepelu,"€ 31,923","€ 1,660,000","€ 1,660,000",M,25,Spain,Valencia,spain,2324
Antonio Raíllo,"€ 31,538","€ 1,640,000","€ 1,640,000",D,32,Spain,Mallorca,spain,2324
Ilaix Moriba,"€ 31,154","€ 1,620,000","€ 1,620,000",M,21,Guinea,Getafe,spain,2324
Borja Iglesias,"€ 30,769","€ 1,600,000","€ 1,600,000",F,30,Spain,Real Betis,spain,2324
Aïssa Mandi,"€ 30,769","€ 1,600,000","€ 1,600,000",D,32,Algeria,Villarreal,spain,2324
Paulo Gazzaniga,"€ 30,000","€ 1,560,000","€ 1,560,000",K,32,Argentina,Girona,spain,2324
Carl Starfelt,"€ 30,000","€ 1,560,000","€ 1,560,000",D,28,Sweden,Celta Vigo,spain,2324
Antonio Sivera,"€ 30,000","€ 1,560,000","€ 1,560,000",K,27,Spain,Alaves,spain,2324
Julián Araujo,"€ 30,000","€ 1,560,000","€ 1,560,000",D,22,Mexico,Las Palmas,spain,2324
Joseph Aidoo,"€ 30,000","€ 1,560,000","€ 1,560,000",D,28,Ghana,Celta Vigo,spain,2324
Gonzalo Villar,"€ 29,615","€ 1,540,000","€ 1,540,000",M,25,Spain,Granada,spain,2324
Sergi Canós,"€ 28,846","€ 1,500,000","€ 1,500,000",F,27,Spain,Valencia,spain,2324
Alejo Véliz,"€ 28,846","€ 1,500,000","€ 1,500,000",F,20,Argentina,Sevilla,spain,2324
Chimy Ávila,"€ 28,846","€ 1,500,000","€ 1,500,000",F,29,Argentina,Osasuna,spain,2324
João Félix,"€ 28,846","€ 1,500,000","€ 1,500,000",F,23,Portugal,Atletico Madrid,spain,2324
Daley Sinkgraven,"€ 28,846","€ 1,500,000","€ 1,500,000",D,28,Netherlands,Las Palmas,spain,2324
Mason Greenwood,"€ 28,846","€ 1,500,000","€ 1,500,000",F,22,England,Getafe,spain,2324
Giorgi Mamardashvili,"€ 28,846","€ 1,500,000","€ 1,500,000",K,23,Georgia,Valencia,spain,2324
Pepe Reina,"€ 28,846","€ 1,500,000","€ 1,500,000",K,41,Spain,Villarreal,spain,2324
Luis Suárez,"€ 28,846","€ 1,500,000","€ 1,500,000",F,26,Colombia,Almeria,spain,2324
Ianis Hagi,"€ 28,846","€ 1,500,000","€ 1,500,000",F,25,Romania,Alaves,spain,2324
José Luis Morales,"€ 28,846","€ 1,500,000","€ 1,500,000",F,36,Spain,Villarreal,spain,2324
José Callejón,"€ 28,846","€ 1,500,000","€ 1,500,000",F,36,Spain,Granada,spain,2324
Sandro Ramírez,"€ 28,654","€ 1,490,000","€ 1,490,000",F,28,Spain,Las Palmas,spain,2324
Ander Guevara,"€ 28,077","€ 1,460,000","€ 1,460,000",M,26,Spain,Alaves,spain,2324
Moi Gómez,"€ 28,077","€ 1,460,000","€ 1,460,000",F,29,Spain,Osasuna,spain,2324
