,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Florinel Coman,"€ 38,462","€ 2,000,000","€ 2,000,000",F,26,Romania,Cagliari,italy,2425
Gustav Isaksen,"€ 36,923","€ 1,920,000","€ 1,920,000",F,23,Denmark,Lazio,italy,2425
Valentino Lazaro,"€ 36,923","€ 1,920,000","€ 1,920,000",M,28,Austria,Torino,italy,2425
Yann Aurel Bisseck,"€ 36,923","€ 1,920,000","€ 1,920,000",D,24,Germany,Inter Milan,italy,2425
Eldor Shomurodov,"€ 36,923","€ 1,920,000","€ 1,920,000",F,29,Uzbekistan,Roma,italy,2425
Rui Patrício,"€ 36,923","€ 1,920,000","€ 1,920,000",K,36,Portugal,Atalanta,italy,2425
Gerard Deulofeu,"€ 36,923","€ 1,920,000","€ 1,920,000",F,30,Spain,Udinese,italy,2425
Dodô,"€ 36,923","€ 1,920,000","€ 1,920,000",D,26,Brazil,Fiorentina,italy,2425
Yerry Mina,"€ 36,923","€ 1,920,000","€ 1,920,000",D,30,Colombia,Cagliari,italy,2425
Lazar Samardžić,"€ 36,923","€ 1,920,000","€ 1,920,000",M,22,Serbia,Atalanta,italy,2425
Junior Sambia,"€ 36,923","€ 1,920,000","€ 1,920,000",D,28,France,Empoli,italy,2425
Warren Bondo,"€ 36,923","€ 1,920,000","€ 1,920,000",M,21,France,AC Milan,italy,2425
Dennis Man,"€ 36,923","€ 1,920,000","€ 1,920,000",F,26,Romania,Parma,italy,2425
Lucas Martínez Quarta,"€ 36,923","€ 1,920,000","€ 1,920,000",D,28,Argentina,Fiorentina,italy,2425
Jakub Jankto,"€ 35,577","€ 1,850,000","€ 1,850,000",M,29,Czech Republic,Cagliari,italy,2425
Davide Calabria,"€ 35,577","€ 1,850,000","€ 1,850,000",D,28,Italy,AC Milan,italy,2425
Sebastiano Luperto,"€ 35,577","€ 1,850,000","€ 1,850,000",D,28,Italy,Cagliari,italy,2425
Samuel Dahl,"€ 35,577","€ 1,850,000","€ 1,850,000",D,21,Sweden,Roma,italy,2425
Saud Abdulhamid,"€ 35,577","€ 1,850,000","€ 1,850,000",D,25,Saudi Arabia,Roma,italy,2425
Alberto Dossena,"€ 35,577","€ 1,850,000","€ 1,850,000",D,26,Italy,Como,italy,2425
Tommaso Pobega,"€ 35,577","€ 1,850,000","€ 1,850,000",M,25,Italy,Bologna,italy,2425
Borna Sosa,"€ 35,577","€ 1,850,000","€ 1,850,000",M,27,Croatia,Torino,italy,2425
Remo Freuler,"€ 35,577","€ 1,850,000","€ 1,850,000",M,32,Switzerland,Bologna,italy,2425
