,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Mert Hakan Yandaş,"€ 12,308","€ 640,000","€ 640,000",F,30,Turkey,Fenerbahce,turkey,2425
Aylton Boa Morte,"€ 12,308","€ 640,000","€ 640,000",F,30,Portugal,Kayserispor,turkey,2425
Cher Ndour,"€ 12,308","€ 640,000","€ 640,000",M,20,Italy,Besiktas,turkey,2425
Levent Mercan,"€ 12,308","€ 640,000","€ 640,000",D,24,Turkey,Fenerbahce,turkey,2425
Stéphane Bahoken,"€ 12,115","€ 630,000","€ 630,000",F,32,Cameroon,Kayserispor,turkey,2425
Simon Banza,"€ 12,115","€ 630,000","€ 630,000",F,28,Democratic Republic of the Congo,Trabzonspor,turkey,2425
İsmail Yüksek,"€ 12,115","€ 630,000","€ 630,000",M,26,Turkey,Fenerbahce,turkey,2425
Necip Uysal,"€ 12,115","€ 630,000","€ 630,000",D,34,Turkey,Besiktas,turkey,2425
Taras Stepanenko,"€ 12,115","€ 630,000","€ 630,000",M,35,Ukraine,Eyupspor,turkey,2425
Samuel Moutoussamy,"€ 12,115","€ 630,000","€ 630,000",M,28,Democratic Republic of the Congo,Sivasspor,turkey,2425
Carlos Mané,"€ 12,115","€ 630,000","€ 630,000",F,30,Guinea-Bissau,Kayserispor,turkey,2425
Kévin Rodrigues,"€ 12,115","€ 630,000","€ 630,000",D,31,Portugal,Kasimpasa,turkey,2425
Efkan Bekiroğlu,"€ 12,115","€ 630,000","€ 630,000",F,29,Turkey,Sivasspor,turkey,2425
Andraz Sporar,"€ 12,115","€ 630,000","€ 630,000",F,30,Slovenia,Alanyaspor,turkey,2425
Emre Kılınç,"€ 12,115","€ 630,000","€ 630,000",F,30,Turkey,Samsunspor,turkey,2425
Rony Lopes,"€ 12,115","€ 630,000","€ 630,000",F,29,Portugal,Alanyaspor,turkey,2425
Danylo Sikan,"€ 12,115","€ 630,000","€ 630,000",F,23,Ukraine,Trabzonspor,turkey,2425
Denis Drăguș,"€ 12,115","€ 630,000","€ 630,000",F,25,Romania,Trabzonspor,turkey,2425
Emmanuel Boateng,"€ 12,115","€ 630,000","€ 630,000",F,28,Ghana,Gaziantep BB,turkey,2425
Braian Samudio,"€ 12,115","€ 630,000","€ 630,000",F,29,Paraguay,Antalyaspor,turkey,2425
Baris Yilmaz,"€ 11,538","€ 600,000","€ 600,000",F,24,Turkey,Galatasaray,turkey,2425
Cihan Çanak,"€ 11,346","€ 590,000","€ 590,000",F,20,Turkey,Trabzonspor,turkey,2425
Jure Balkovec,"€ 11,154","€ 580,000","€ 580,000",D,30,Slovenia,Alanyaspor,turkey,2425
Hüseyin Türkmen,"€ 11,154","€ 580,000","€ 580,000",D,27,Turkey,Trabzonspor,turkey,2425
Taylan Antalyalı,"€ 11,154","€ 580,000","€ 580,000",M,30,Turkey,Bodrum,turkey,2425
Fidan Aliti,"€ 11,154","€ 580,000","€ 580,000",D,31,Kosovo,Alanyaspor,turkey,2425
Gaius Makouta,"€ 10,769","€ 560,000","€ 560,000",M,27,Congo,Alanyaspor,turkey,2425
Mehdi Bourabia,"€ 10,769","€ 560,000","€ 560,000",M,33,Morocco,Kayserispor,turkey,2425
Veljko Simic,"€ 10,769","€ 560,000","€ 560,000",F,29,Serbia,Sivasspor,turkey,2425
Jonathan Okita,"€ 10,769","€ 560,000","€ 560,000",F,28,Democratic Republic of the Congo,Bodrum,turkey,2425
Davidson,"€ 10,769","€ 560,000","€ 560,000",F,33,Brazil,Basaksehir,turkey,2425
Duckens Nazon,"€ 10,769","€ 560,000","€ 560,000",F,30,Haiti,Kayserispor,turkey,2425
Ramazan Civelek,"€ 10,769","€ 560,000","€ 560,000",F,29,Turkey,Kayserispor,turkey,2425
Miguel Cardoso,"€ 10,769","€ 560,000","€ 560,000",F,30,Portugal,Kayserispor,turkey,2425
Emre Akbaba,"€ 10,769","€ 560,000","€ 560,000",F,32,Turkey,Eyupspor,turkey,2425
Fredrik Midtsjø,"€ 10,769","€ 560,000","€ 560,000",M,31,Norway,Eyupspor,turkey,2425
Dorukhan Toköz,"€ 10,769","€ 560,000","€ 560,000",M,28,Turkey,Eyupspor,turkey,2425
Serdar Dursun,"€ 10,769","€ 560,000","€ 560,000",F,32,Turkey,Alanyaspor,turkey,2425
Noah Sonko Sundberg,"€ 10,769","€ 560,000","€ 560,000",D,28,The Gambia,Sivasspor,turkey,2425
Sander van de Streek,"€ 10,769","€ 560,000","€ 560,000",F,31,Netherlands,Antalyaspor,turkey,2425
Kacper Kozlowski,"€ 10,769","€ 560,000","€ 560,000",F,21,Poland,Gaziantep BB,turkey,2425
Alex Pritchard,"€ 10,769","€ 560,000","€ 560,000",F,31,England,Sivasspor,turkey,2425
Charilaos Charisis,"€ 10,769","€ 560,000","€ 560,000",M,30,Greece,Sivasspor,turkey,2425
Garry Rodrigues,"€ 10,769","€ 560,000","€ 560,000",F,34,Cape Verde,Sivasspor,turkey,2425
Onur Ergün,"€ 10,577","€ 550,000","€ 550,000",M,32,Turkey,Basaksehir,turkey,2425
Rick van Drongelen,"€ 10,577","€ 550,000","€ 550,000",D,26,Netherlands,Samsunspor,turkey,2425
Youssef Aït Bennasser,"€ 10,577","€ 550,000","€ 550,000",M,28,Morocco,Samsunspor,turkey,2425
Deni Milosevic,"€ 10,385","€ 540,000","€ 540,000",F,29,Bosnia-Herzegovina,Antalyaspor,turkey,2425
Muhammed Şengezer,"€ 10,192","€ 530,000","€ 530,000",K,28,Turkey,Basaksehir,turkey,2425
Yaw Ackah,"€ 10,192","€ 530,000","€ 530,000",M,25,Ghana,Kayserispor,turkey,2425
Marc Bola,"€ 10,192","€ 530,000","€ 530,000",D,27,England,Samsunspor,turkey,2425
Halil Akbunar,"€ 9,808","€ 510,000","€ 510,000",F,31,Turkey,Eyupspor,turkey,2425
Keny Arroyo,"€ 9,615","€ 500,000","€ 500,000",F,18,Ecuador,Besiktas,turkey,2425
Andreaw Gravillon,"€ 9,615","€ 500,000","€ 500,000",D,27,Guadeloupe,Adana Demirspor,turkey,2425
Majid Hosseini,"€ 9,615","€ 500,000","€ 500,000",D,29,Iran,Kayserispor,turkey,2425
Malcom Bokele,"€ 9,615","€ 500,000","€ 500,000",D,25,Cameroon,Goztepe,turkey,2425
Güray Vural,"€ 9,615","€ 500,000","€ 500,000",D,36,Turkey,Antalyaspor,turkey,2425
Adil Demirbağ,"€ 9,615","€ 500,000","€ 500,000",D,27,Turkey,Konyaspor,turkey,2425
Serdar Saatçı,"€ 9,615","€ 500,000","€ 500,000",D,21,Turkey,Trabzonspor,turkey,2425
Luccas Claro,"€ 9,423","€ 490,000","€ 490,000",D,33,Brazil,Eyupspor,turkey,2425
Erce Kardeşler,"€ 8,846","€ 460,000","€ 460,000",K,30,Turkey,Hatayspor,turkey,2425
Abat Aymbetov,"€ 8,846","€ 460,000","€ 460,000",F,29,Kazakhstan,Adana Demirspor,turkey,2425
Evren Eren Elmali,"€ 8,846","€ 460,000","€ 460,000",D,24,Turkey,Galatasaray,turkey,2425
Evren Eren Elmali,"€ 8,846","€ 460,000","€ 460,000",D,24,Turkey,Trabzonspor,turkey,2425
Erdoğan Yeşilyurt,"€ 8,654","€ 450,000","€ 450,000",D,31,Turkey,Antalyaspor,turkey,2425
Pedrinho,"€ 8,654","€ 450,000","€ 450,000",F,28,Brazil,Konyaspor,turkey,2425
