,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Angelo Fulgini,"€ 38,077","€ 1,980,000","€ 1,980,000",F,26,France,Mainz,germany,2223
Marcin Kaminski,"€ 37,885","€ 1,970,000","€ 1,970,000",D,31,Poland,Schalke 04,germany,2223
Hannes Wolf,"€ 36,923","€ 1,920,000","€ 1,920,000",F,23,Austria,Monchengladbach,germany,2223
Kouadio Koné,"€ 36,923","€ 1,920,000","€ 1,920,000",M,21,France,Monchengladbach,germany,2223
Bouna Sarr,"€ 36,538","€ 1,900,000","€ 1,900,000",D,31,Senegal,Bayern Munich,germany,2223
Ko Itakura,"€ 36,346","€ 1,890,000","€ 1,890,000",D,26,Japan,Monchengladbach,germany,2223
Ivan Ordets,"€ 36,346","€ 1,890,000","€ 1,890,000",D,30,Ukraine,Bochum,germany,2223
Dominick Drexler,"€ 36,346","€ 1,890,000","€ 1,890,000",F,32,Germany,Schalke 04,germany,2223
Christopher Trimmel,"€ 36,346","€ 1,890,000","€ 1,890,000",D,35,Austria,Union Berlin,germany,2223
Josip Stanisic,"€ 36,346","€ 1,890,000","€ 1,890,000",D,22,Croatia,Bayern Munich,germany,2223
Jae-sung Lee,"€ 36,346","€ 1,890,000","€ 1,890,000",F,30,South Korea,Mainz,germany,2223
Josip Brekalo,"€ 36,346","€ 1,890,000","€ 1,890,000",F,24,Croatia,Wolfsburg,germany,2223
Rani Khedira,"€ 36,346","€ 1,890,000","€ 1,890,000",M,29,Germany,Union Berlin,germany,2223
Adam Hlozek,"€ 36,154","€ 1,880,000","€ 1,880,000",F,20,Czech Republic,Bayer Leverkusen,germany,2223
Nicolai Rapp,"€ 35,192","€ 1,830,000","€ 1,830,000",M,25,Germany,Werder Bremen,germany,2223
Dominik Kohr,"€ 34,615","€ 1,800,000","€ 1,800,000",M,29,Germany,Mainz,germany,2223
Almamy Touré,"€ 34,615","€ 1,800,000","€ 1,800,000",D,26,Mali,Eintracht Frankfurt,germany,2223
Ridle Baku,"€ 34,615","€ 1,800,000","€ 1,800,000",D,24,Germany,Wolfsburg,germany,2223
Robert Skov,"€ 34,615","€ 1,800,000","€ 1,800,000",M,26,Denmark,Hoffenheim,germany,2223
Jordan Siebatcheu,"€ 34,615","€ 1,800,000","€ 1,800,000",F,26,United States,Union Berlin,germany,2223
Stefan Bell,"€ 34,615","€ 1,800,000","€ 1,800,000",D,31,Germany,Mainz,germany,2223
Jacob Bruun Larsen,"€ 34,615","€ 1,800,000","€ 1,800,000",F,24,Denmark,Hoffenheim,germany,2223
Mark Uth,"€ 34,615","€ 1,800,000","€ 1,800,000",F,31,Germany,Koln,germany,2223
Marvin Ducksch,"€ 34,615","€ 1,800,000","€ 1,800,000",F,28,Germany,Werder Bremen,germany,2223
Alex Král,"€ 34,423","€ 1,790,000","€ 1,790,000",M,24,Czech Republic,Schalke 04,germany,2223
Karim Onisiwo,"€ 32,692","€ 1,700,000","€ 1,700,000",F,30,Austria,Mainz,germany,2223
Patrick Herrmann,"€ 32,692","€ 1,700,000","€ 1,700,000",F,31,Germany,Monchengladbach,germany,2223
Anthony Caci,"€ 32,692","€ 1,700,000","€ 1,700,000",D,25,France,Mainz,germany,2223
Ermin Bicakcic,"€ 32,692","€ 1,700,000","€ 1,700,000",D,33,Bosnia-Herzegovina,Hoffenheim,germany,2223
