,,EST. BASE SALARY,EST. BASE SALARY,EST. BONUS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,CONTRACT DETAILS,BIO,BIO,BIO,BIO,BIO,,,,data_country,data_season
PLAYER,,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","GROSS P/Y
(EUR)",SIGNED,EXPIRATION,YEARS REMAINING,"GROSS REMAINING
(EUR)","RELEASE CLAUSE
(EUR)",STATUS,POS.,POS.,AGE,COUNTRY,CLUB,ACTIVE,LOAN,,
Marco Friedl,,"€ 58,077","€ 3,020,000","€ 750,000","Apr 18, 2025","Jun 30, 2028",3,"€ 9,060,000",,Starter,D,CB,27,Austria,Werder Bremen,True,,germany,2526
Moritz Nicolas,,"€ 54,423","€ 2,830,000","€ 710,000","Mar 8, 2024","Jun 30, 2029",4,"€ 11,320,000",,Starter,K,GK,28,Germany,Monchengladbach,True,,germany,2526
El Chadaille Bitshiabu,,"€ 54,423","€ 2,830,000","€ 710,000","Jun 6, 2025","Jun 30, 2029",4,"€ 11,320,000",,Reserve,D,CB,20,France,Leipzig,True,,germany,2526
Julian Chabot,,"€ 54,423","€ 2,830,000","€ 710,000","Jul 1, 2024","Jun 30, 2028",3,"€ 8,490,000",,Starter,D,CB,27,Germany,Stuttgart,True,,germany,2526
Kevin Diks,,"€ 54,423","€ 2,830,000","€ 710,000","Jul 1, 2025","Jun 30, 2030",5,"€ 14,150,000",,Starter,D,CB,29,Indonesia,Monchengladbach,True,,germany,2526
Mattias Svanberg,,"€ 54,423","€ 2,830,000","€ 710,000","Jul 16, 2022","Jun 30, 2027",2,"€ 5,660,000",,Starter,M,CM,27,Sweden,Wolfsburg,True,,germany,2526
Victor Boniface,,"€ 54,423","€ 2,830,000","€ 710,000","Jul 22, 2023","Jun 30, 2028",3,"€ 8,490,000",,Reserve,F,CF,24,Nigeria,Bayer Leverkusen,False,,germany,2526
Adam Hlozek,,"€ 54,423","€ 2,830,000","€ 710,000","Aug 17, 2024","Jun 30, 2029",4,"€ 11,320,000",,Reserve,F,CF,23,Czech Republic,Hoffenheim,True,,germany,2526
Ozan Kabak,,"€ 54,423","€ 2,830,000","€ 710,000","Jul 23, 2022","Jun 30, 2026",1,"€ 2,830,000",,Starter,D,CB,25,Turkey,Hoffenheim,True,,germany,2526
Hugo Larsson,,"€ 54,423","€ 2,830,000","€ 710,000","Oct 4, 2024","Jun 30, 2029",4,"€ 11,320,000",,Starter,M,CM,21,Sweden,Eintracht Frankfurt,True,,germany,2526
Mitchell Weiser,,"€ 54,423","€ 2,830,000","€ 710,000","May 17, 2024","Jun 30, 2026",1,"€ 2,830,000",,Reserve,D,RB,31,Germany,Werder Bremen,True,,germany,2526
Bilal El Khannouss,,"€ 54,423","€ 2,830,000","€ 710,000","Sep 1, 2025","Jun 30, 2026",1,"€ 2,830,000",,Starter,F,AM,21,Morocco,Stuttgart,True,,germany,2526
